Frequency (GHz),Peak (mV),Noise (mV),Date,Type,Span (MHz),LNA,Antenna
0.25,6.89,0.21,2024-05-30,AIR,25,True,LF
0.333333,6.82,0.192,2024-05-30,AIR,25,True,LF
0.416667,7.13,0.226,2024-05-30,AIR,25,True,LF
0.5,6.62,0.225,2024-05-30,AIR,25,True,LF
0.583333,6.81,0.203,2024-05-30,AIR,25,True,LF
0.666667,7.02,0.207,2024-05-30,AIR,25,True,LF
0.75,7.97,0.252,2024-05-30,AIR,25,True,LF
0.833333,7.02,0.199,2024-05-30,AIR,25,True,LF
0.916667,7.28,0.202,2024-05-30,AIR,25,True,LF
1.0,7.07,0.164,2024-05-30,AIR,25,True,LF
1.08333,8.08,0.198,2024-05-30,AIR,25,True,LF
1.16667,8.56,0.219,2024-05-30,AIR,25,True,LF
1.25,7.52,0.206,2024-05-30,AIR,25,True,LF
1.33333,4.27,0.123,2024-05-30,AIR,25,True,LF
1.41667,7.43,0.16,2024-05-30,AIR,25,True,LF
1.5,5.52,0.115,2024-05-30,AIR,25,True,LF
1.58333,3.92,0.0821,2024-05-30,AIR,25,True,LF
1.66667,6.41,0.134,2024-05-30,AIR,25,True,LF
1.75,3.83,0.0807,2024-05-30,AIR,25,True,LF
1.83333,4.54,0.11,2024-05-30,AIR,25,True,LF
1.91667,2.64,0.0572,2024-05-30,AIR,25,True,LF
2.0,2.85,0.0634,2024-05-30,AIR,25,True,LF
2.08333,3.5,0.073,2024-05-30,AIR,25,True,LF
2.16667,1.97,0.0601,2024-05-30,AIR,25,True,LF
2.25,2.46,0.0529,2024-05-30,AIR,25,True,LF
2.33333,3.39,0.0731,2024-05-30,AIR,25,True,LF
2.41667,1.74,0.061,2024-05-30,AIR,25,True,LF
2.5,1.75,0.0399,2024-05-30,AIR,25,True,LF
2.58333,2.86,0.0657,2024-05-30,AIR,25,True,LF
2.66667,2.62,0.0537,2024-05-30,AIR,25,True,LF
2.75,1.74,0.0336,2024-05-30,AIR,25,True,LF
2.83333,2.22,0.0522,2024-05-30,AIR,25,True,LF
2.91667,2.67,0.0605,2024-05-30,AIR,25,True,LF
3.0,1.36,0.0349,2024-05-30,AIR,25,True,LF
3.08333,1.25,0.0283,2024-05-30,AIR,25,True,LF
3.16667,2.42,0.0501,2024-05-30,AIR,25,True,LF
3.25,3.29,0.0768,2024-05-30,AIR,25,True,LF
3.33333,2.07,0.0425,2024-05-30,AIR,25,True,LF
3.41667,2.51,0.0603,2024-05-30,AIR,25,True,LF
3.5,2.14,0.0542,2024-05-30,AIR,25,True,LF
3.58333,0.529,0.0238,2024-05-30,AIR,25,True,LF
3.66667,0.901,0.0304,2024-05-30,AIR,25,True,LF
3.75,0.762,0.032,2024-05-30,AIR,25,True,LF
3.83333,0.723,0.0492,2024-05-30,AIR,25,True,LF
3.91667,0.204,0.0223,2024-05-30,AIR,25,True,LF
4.0,0.561,0.0317,2024-05-30,AIR,25,True,LF
4.08333,0.361,0.0502,2024-05-30,AIR,25,True,LF
4.16667,0.371,0.0346,2024-05-30,AIR,25,True,LF
4.25,0.756,0.046,2024-05-30,AIR,25,True,LF
4.33333,0.485,0.0395,2024-05-30,AIR,25,True,LF
4.41667,0.647,0.0818,2024-05-30,AIR,25,True,LF
4.5,0.23,0.0469,2024-05-30,AIR,25,True,LF
4.58333,0.32,0.0472,2024-05-30,AIR,25,True,LF
4.66667,0.389,0.0407,2024-05-30,AIR,25,True,LF
4.75,0.176,0.0355,2024-05-30,AIR,25,True,LF
4.83333,0.208,0.0489,2024-05-30,AIR,25,True,LF
4.91667,0.307,0.0461,2024-05-30,AIR,25,True,LF
5.0,0.141,0.0444,2024-05-30,AIR,25,True,LF
5.08333,0.272,0.0442,2024-05-30,AIR,25,True,LF
5.16667,0.478,0.0456,2024-05-30,AIR,25,True,LF
5.25,0.391,0.0506,2024-05-30,AIR,25,True,LF
5.33333,0.267,0.167,2024-05-30,AIR,25,True,LF
5.41667,1.08,0.625,2024-05-30,AIR,25,True,LF
5.5,0.849,0.599,2024-05-30,AIR,25,True,LF
5.58333,1.88,0.675,2024-05-30,AIR,25,True,LF
5.66667,1.03,0.647,2024-05-30,AIR,25,True,LF
5.75,2.72,0.795,2024-05-30,AIR,25,True,LF
5.83333,0.929,0.674,2024-05-30,AIR,25,True,LF
5.91667,1.2,0.69,2024-05-30,AIR,25,True,LF
6.0,1.15,0.693,2024-05-30,AIR,25,True,LF
